Carimbo de data/hora,Declaro que entendi o tema do questionário e dou meu consentimento para participar da pesquisa e da apresentação dos resultados,Quantos anos você tem?,Quais plataformas de streaming você utiliza?,"Eu acredito que as plataformas de streaming facilitaram a forma de consumir musicas, séries, filmes e etc. ?","Graças as plataformas de streaming de vídeo a quantidade de conteúdo audiovisual que eu consumo aumentou consideravelmente em comparação com métodos tradicionais de visualização (TV aberta, TV a cabo, DVD, etc.)?",As recomendações personalizadas nas plataformas de streaming influenciam significativamente minhas escolhas de programas de TV e filmes,O acesso sob demanda oferecido pelas plataformas de streaming me permitiu maior flexibilidade para assistir a conteúdo quando e onde desejo.,Eu prefiro que quando lancem uma série que todos os episódios sejam publicados de uma vez ao invés de lançamentos de episódios semanais.,As plataformas de streaming de música e podcasts aumentaram minha frequência de consumo de conteúdo de áudio.,Percebi mudanças significativas nos meus padrões de consumo de música e conteúdo de áudio desde que comecei a usar plataformas de streaming.,Percebi que a maior parte dos novos conteúdos que comecei a consumir são resultado de recomendações das plataformas de streaming e não de busca individual. ,Se eu quiser consumir algo que não se encontra em uma plataforma de streaming minha vontade de consumir diminui consideravelmente.
03/11/2023 18:46:27,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,2,4,5,5,5,5,2,3
03/11/2023 18:58:28,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,3,4,5,5,5,5,2,2
03/11/2023 18:59:09,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,5,5,5,5,4,4,5
03/11/2023 18:59:21,Sim,Menos de 20.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,4,5,2,3,1,1,4
03/11/2023 18:59:49,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,5,5,2,5,5,4,4
03/11/2023 19:00:34,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,4,3,5,4,5,3,3,4
03/11/2023 19:03:34,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,3,4,5,5,1,2,3,2
03/11/2023 19:03:37,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,1,5,3,1,1,1,1
03/11/2023 19:03:50,Sim,Menos de 20.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,4,5,5,5,5,3,2
03/11/2023 19:03:56,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,4,1,3,5,5,2,2,3
03/11/2023 19:04:15,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,2,4,5,5,2,3,3,5
03/11/2023 19:04:51,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,4,4,5,5,3,4,5
03/11/2023 19:05:15,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,4,5,5,5,5,3,2
03/11/2023 19:09:36,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,5,5,3,5,5,3,3
03/11/2023 19:11:33,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",4,4,3,5,5,4,4,3,3
03/11/2023 19:12:12,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,3,5,5,5,5,3,5
03/11/2023 19:13:50,Sim,Entre 20  a 30.,"Plataformas como Spotify, Amazon Music, Itunes music e etc.",4,3,2,4,5,3,3,4,3
03/11/2023 19:14:24,Sim,Entre 20  a 30.,"Plataformas como Spotify, Amazon Music, Itunes music e etc.",4,4,2,4,3,5,4,2,3
03/11/2023 19:15:40,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,3,5,5,4,3,1,3
03/11/2023 19:15:47,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,3,5,3,3,3,1,3
03/11/2023 19:18:00,Sim,Mais de 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,3,5,5,3,4,3,4
03/11/2023 19:18:27,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",4,4,4,5,5,2,3,4,1
03/11/2023 19:20:29,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,4,5,5,5,3,5,2,4
03/11/2023 19:21:42,Sim,Entre 20  a 30.,"Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,4,2,5,5,5,5,1,1
03/11/2023 19:23:37,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,2,4,5,1,2,4,3,5
03/11/2023 19:24:36,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,4,5,5,3,4,5,4
03/11/2023 19:29:57,Sim,Mais de 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,4,3,4,5,4,3,3,1
03/11/2023 19:31:56,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,1,3,3,5,5,5,4,4
03/11/2023 19:31:57,Sim,Entre 20  a 30.,"Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,5,5,5,5,5,5,5
03/11/2023 19:33:33,Sim,Entre 30 a 40.,"Plataformas como Spotify, Amazon Music, Itunes music e etc.",4,3,2,2,3,2,2,1,1
03/11/2023 19:35:20,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",4,4,2,4,5,2,2,2,4
